BD,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
base_5_2_10,0.7035029530385852,0.6990804124251468,0.7062195866314496,0.7136029744086885,0.7076646025079527,0.6421190862030335,0.654384600391427,0.6117394335110504
base_5_3_10,0.701360078497953,0.7012196947860125,0.717415331646609,0.7173094453492468,0.7005704312481544,0.6527591445256701,0.6513769575380003,0.6073023161460792
base_5_4_10,0.6773566690804236,0.6530376008236365,0.6669097800630994,0.6737195136120347,0.6758365135190791,0.6075112144083743,0.6364409806428433,0.6045038127918666
base_5_5_10,0.7055446374190817,0.7141058340569277,0.7173702366266925,0.7070369730408841,0.6792698035044177,0.6719927608760938,0.6780434308461533,0.6614058357907718
base_5_6_10,0.7062460416113563,0.6834904345114056,0.7137640753432912,0.7029581924518763,0.7178846894737531,0.6585557751934077,0.6679415247383845,0.620023391534752
base_5_7_10,0.623443777309159,0.6195742529714764,0.6289141674052097,0.6392838772167122,0.6375447095772641,0.5709121930034936,0.6001624139644781,0.5900772223593633
base_5_8_10,0.6701874648518755,0.6687189444075811,0.6896180654802537,0.6718907766938947,0.6756095373911633,0.6222688754033285,0.6669507395843081,0.6580864162421336
base_5_9_10,0.6742939614212967,0.6804840400441948,0.6830962790595038,0.6719355958362075,0.6755248350248064,0.667146877381037,0.6706128744439932,0.6370392527396043
bodyfat,0.7494209212510737,0.7409227031074636,0.7519945463961681,0.7430065693962018,0.7490214210008797,0.7273571264629313,0.7125211680519687,0.6959853832658098
breast-cancer-wisconsin,0.7912422256418644,0.8029090193203509,0.7997397709156028,0.8042229715717207,0.7888580234296021,0.7605931435950947,0.7250977367586321,0.7106580138908112
breast-tissue,0.7347281194780423,0.7333809992046357,0.7355687217498396,0.7405662892318144,0.7358693734388412,0.6983144419608175,0.6921354313030246,0.6964170377774579
chatfield_4,0.7715642543126362,0.7758896651443108,0.7768477471469929,0.7757408306801121,0.7610054119257488,0.7356326319313798,0.734250858063662,0.7272571172114811
clean1,0.7529115387364593,0.7598925457729814,0.7654980926551661,0.7598865189183855,0.7411606423115412,0.8024677746215174,0.7228074400924022,0.8060685187343701
clean2,0.7846917449846271,0.8136475497844791,0.8057685336735002,0.814462841008164,0.7921524453639137,0.8189171450918635,0.6944980087949444,0.5969958800963909
cnae9,0.6356159608803574,0.6470956841511009,0.6376307274052323,0.6437421566169601,0.603749412629283,0.6318516562144205,0.5604900103372801,0.529888982175152
coil20,0.7507320529299897,0.765538295771195,0.7584960912215021,0.7670080847433961,0.7466368937263452,0.7207466459365925,0.7140531340684044,0.8231218853014337
collins,0.7764789041629181,0.7729925037037374,0.7608282934804868,0.7732663465403296,0.7672809212393056,0.6734929845065615,0.7234849469140204,0.6770571394116397
communities,0.6318002936456129,0.6455753991292353,0.6400668866422591,0.646918164218397,0.6178047575448143,0.6083107522818073,0.5478399859225563,0.5491883751919316
crx,0.7696125008007776,0.7909592920891908,0.7821905869506651,0.7935087462287714,0.7761275017414364,0.7087884084963552,0.6996270767664841,0.728235891228544
ctg,0.7882395744876732,0.7580360444229701,0.772740089074553,0.7615809811385612,0.7892209855889171,0.7041795825385911,0.7015744491094699,0.6585653605067744
data_k12d22n11,0.8039641437802686,0.8127220263715064,0.7968709520221726,0.8189589209891117,0.8084867005200518,0.7356533722014882,0.7451985950048453,0.7493434501555213
data_k12d22n12,0.8137079558233828,0.8466560790675807,0.81794066345517,0.8455141413535863,0.8160689908298446,0.7659720323985433,0.7348137923300226,0.773211552826123
data_k12d22n13,0.8075418553408799,0.8224488768492021,0.7962543019957409,0.8140052800588057,0.8098733395865512,0.736091810255809,0.7304304433884189,0.8062136565192712
data_k12d22n14,0.8097939423506177,0.8399330932912703,0.8115239923104376,0.8455893396138123,0.8023639938808487,0.750539165259698,0.729650913278191,0.740652703245387
data_k12d22n15,0.812518405823911,0.826976247551481,0.804502610116135,0.8320334071249965,0.8041074603946956,0.735038222676575,0.7431156262290273,0.8023546280134137
data_k12d23n11,0.8065326350236468,0.8238889597401133,0.8088474044277211,0.833697024571786,0.8086968003382651,0.7606763585584628,0.7987209510548237,0.7117409982254624
data_k12d23n12,0.8089889324656468,0.8381045561978817,0.8047711056119027,0.8583476284046991,0.7965634395374754,0.7405605552085536,0.7468449459634467,0.7428474225911035
data_k12d23n13,0.8067727679366188,0.8467323388957023,0.8112878470316337,0.8330311590089657,0.8065159477932037,0.7318181306803221,0.7451971455745708,0.7154041922566079
data_k12d23n14,0.8008082910303227,0.8237104640661913,0.8138807882644927,0.8375066180218937,0.807321970615534,0.7451893723511028,0.7366757307754377,0.7042681130080422
data_k12d23n15,0.8122631953513153,0.8484471539582866,0.8114790236740055,0.8531703908394815,0.8123602346269134,0.7596077024593982,0.7550379523553985,0.7959135874605565
data_k12d24n11,0.8109907799998503,0.8424278157627823,0.8119285345435822,0.844129937412777,0.8091493147341173,0.7492608975140139,0.7553421555757245,0.7442529261045945
data_k12d24n12,0.800541292960521,0.8122856391095536,0.7887163686804075,0.8299826684557253,0.8058737203146891,0.7391885035227999,0.7255300689437016,0.7265687745765107
data_k12d24n13,0.8012635060030624,0.8469458791325843,0.8073354357563464,0.84763726008857,0.8001850205572731,0.7399653783920892,0.7958141493886959,0.8172460542652538
data_k12d24n14,0.8152080645149841,0.8481241913688479,0.8025281097266774,0.8346408922659581,0.7965496551010565,0.7207216785346106,0.7364385467930872,0.6946523450077815
data_k12d24n15,0.8067062050363978,0.8270698065072267,0.802770851956427,0.8212997643256724,0.8013037550624384,0.7232518720734105,0.7217668609627512,0.6552090358986891
data_k14d22n11,0.802688820774778,0.8159525286091963,0.8008822611876412,0.8111870142858677,0.7973288091577834,0.7341998615712859,0.7190923710482633,0.7177180092760402
data_k14d22n12,0.8253733222525781,0.8560926330280194,0.8304940067121265,0.8356491947983755,0.8190584636384071,0.725111264289348,0.7483504150866851,0.7253682804965711
data_k14d22n13,0.802559007465458,0.8296663353484531,0.8052208125059096,0.8237801643668202,0.8089302755304191,0.6852592053057772,0.7350113973171709,0.806918054659598
data_k14d22n14,0.808427523979643,0.8439307537839456,0.786507347852659,0.8485471704476104,0.8114850664691383,0.7398145264981204,0.7321246665633764,0.7300311270815666
data_k14d22n15,0.8034116353282121,0.8384769568073027,0.7928847530880165,0.8271309509953959,0.7982279663160592,0.7178924208461034,0.7199376542708316,0.7249065215572801
data_k14d23n12,0.8120228062505681,0.8236193661747115,0.806006056948622,0.831437511061184,0.81111359254175,0.7372082135251092,0.737322343070875,0.7466190303529242
data_k14d23n13,0.8076161426266882,0.8447404455283962,0.8034957321269047,0.8407559403951252,0.8054959491234124,0.7296152622303805,0.7430673745513361,0.8010109481550896
data_k14d23n14,0.8105393319555011,0.8478684970588377,0.8043587672448211,0.8247344488250248,0.8089893460648865,0.7348566806724055,0.7407137832936387,0.6994119611143446
data_k14d24n11,0.7897447116356346,0.8212935478124054,0.7984515542562509,0.8310128197091734,0.7934577659958558,0.7133309749053846,0.7012156124856374,0.6868696931538676
